driverId.int32(),driverRef.string(),nationality.string()
1,hamilton,British
2,heidfeld,German
3,rosberg,German
4,alonso,Spanish
5,kovalainen,Finnish
6,nakajima,Japanese
7,bourdais,French
8,raikkonen,Finnish
9,kubica,Polish
10,glock,German
11,sato,Japanese
12,piquet_jr,Brazilian
13,massa,Brazilian
14,coulthard,British
15,trulli,Italian
16,sutil,German
17,webber,Australian
18,button,British
19,davidson,British
20,vettel,German
21,fisichella,Italian
22,barrichello,Brazilian
23,ralf_schumacher,German
24,liuzzi,Italian
25,wurz,Austrian
26,speed,American
27,albers,Dutch
28,markus_winkelhock,German
29,yamamoto,Japanese
30,michael_schumacher,German
31,montoya,Colombian
32,klien,Austrian
33,monteiro,Portuguese
34,ide,Japanese
35,villeneuve,Canadian
36,montagny,French
37,rosa,Spanish
38,doornbos,Dutch
39,karthikeyan,Indian
40,friesacher,Austrian
41,zonta,Brazilian
42,pizzonia,Brazilian
43,matta,Brazilian
44,panis,French
45,pantano,Italian
46,bruni,Italian
47,baumgartner,Hungarian
48,gene,Spanish
49,frentzen,German
50,verstappen,Dutch
51,wilson,British
52,firman,Irish
53,kiesa,Danish
54,burti,Brazilian
55,alesi,French
56,irvine,British
57,hakkinen,Finnish
58,marques,Brazilian
59,bernoldi,Brazilian
60,mazzacane,Argentine
61,enge,Czech
62,yoong,Malaysian
63,salo,Finnish
64,diniz,Brazilian
65,herbert,British
66,mcnish,British
67,buemi,Swiss
68,takagi,Japanese
69,badoer,Italian
70,zanardi,Italian
71,damon_hill,British
72,sarrazin,French
73,rosset,Brazilian
74,tuero,Argentine
75,nakano,Japanese
76,magnussen,Danish
77,berger,Austrian
78,larini,Italian
79,katayama,Japanese
80,sospiri,Italian
81,morbidelli,Italian
82,fontana,Argentine
83,lamy,Portuguese
84,brundle,British
85,montermini,Italian
86,lavaggi,Italian
87,blundell,British
88,suzuki,Japanese
89,inoue,Japanese
90,moreno,Brazilian
91,wendlinger,Austrian
92,gachot,Belgian
93,schiattarella,Italian
94,martini,Italian
95,mansell,British
96,boullion,French
97,papis,Italian
98,deletraz,Swiss
99,tarquini,Italian
100,comas,French
101,brabham,Australian
102,senna,Brazilian
103,bernard,French
104,fittipaldi,Brazilian
105,alboreto,Italian
106,beretta,Monegasque
107,ratzenberger,Austrian
108,belmondo,French
109,lehto,Finnish
110,cesaris,Italian
111,gounon,French
112,alliot,French
113,adams,Belgian
114,dalmas,French
115,noda,Japanese
116,lagorce,French
117,prost,French
118,warwick,British
119,patrese,Italian
120,barbazza,Italian
121,andretti,American
122,capelli,Italian
123,boutsen,Belgian
124,apicella,Italian
125,naspetti,Italian
126,toshio_suzuki,Japanese
127,gugelmin,Brazilian
128,poele,Belgian
129,grouillard,French
130,chiesa,Swiss
131,modena,Italian
132,amati,Italian
133,caffi,Italian
134,bertaggia,Italian
135,mccarthy,British
136,lammers,Dutch
137,piquet,Brazilian
138,satoru_nakajima,Japanese
139,pirro,Italian
140,johansson,Swedish
141,bailey,British
142,chaves,Portuguese
143,bartels,German
144,hattori,Japanese
145,nannini,Italian
146,schneider,German
147,barilla,Italian
148,foitek,Swiss
149,langes,Italian
150,gary_brabham,Australian
151,donnelly,British
152,giacomelli,Italian
153,alguersuari,Spanish
154,grosjean,French
155,kobayashi,Japanese
156,palmer,British
157,danner,German
158,cheever,American
159,sala,Spanish
160,ghinzani,Italian
161,weidler,German
162,raphanel,French
163,arnoux,French
164,joachim_winkelhock,German
165,larrauri,Argentine
166,streiff,French
167,campos,Spanish
168,schlesser,French
169,fabre,French
170,fabi,Italian
171,forini,Swiss
172,laffite,French
173,angelis,Italian
174,dumfries,British
175,tambay,French
176,surer,Swiss
177,keke_rosberg,Finnish
178,jones,Australian
179,rothengatter,Dutch
180,berg,Canadian
181,manfred_winkelhock,German
182,lauda,Austrian
183,hesnault,French
184,baldi,Italian
185,bellof,German
186,acheson,British
187,watson,British
188,cecotto,Venezuelan
189,gartner,Austrian
190,corrado_fabi,Italian
191,thackwell,New Zealander
192,serra,Brazilian
193,sullivan,American
194,salazar,Chilean
195,guerrero,Colombian
196,boesel,Brazilian
197,jarier,French
198,villeneuve_sr,Canadian
199,reutemann,Argentine
200,mass,German
201,borgudd,Swedish
202,pironi,French
203,gilles_villeneuve,Canadian
204,paletti,Italian
205,henton,British
206,daly,Irish
207,mario_andretti,American
208,villota,Spanish
209,lees,British
210,byrne,Irish
211,keegan,British
212,rebaque,Mexican
213,gabbiani,Italian
214,cogan,American
215,guerra,Argentine
216,stohr,Italian
217,zunino,Argentine
218,londono,Colombian
219,jabouille,French
220,francia,Italian
221,depailler,French
222,scheckter,South African
223,regazzoni,Swiss
224,emerson_fittipaldi,Brazilian
225,kennedy,Irish
226,south,British
227,needell,British
228,desire_wilson,South African
229,ertl,Austrian
230,brambilla,Italian
231,hunt,British
232,merzario,Italian
233,stuck,German
234,brancatelli,Italian
235,ickx,Belgian
236,gaillard,French
237,ribeiro,Brazilian
238,peterson,Swedish
239,lunger,American
240,ongais,American
241,leoni,Italian
242,galica,British
243,stommelen,German
244,colombo,Italian
245,trimmer,British
246,binder,Austrian
247,bleekemolen,Dutch
248,gimax,Italian
249,rahal,American
250,pace,Brazilian
251,ian_scheckter,South African
252,pryce,British
253,hoffmann,Brazilian
254,zorzi,Italian
255,nilsson,Swedish
256,perkins,Australian
257,hayje,Dutch
258,neve,Belgian
259,purley,British
260,andersson,Swedish
261,dryver,Belgian
262,oliver,British
263,kozarowitzky,Finnish
264,sutcliffe,British
265,edwards,British
266,mcguire,Australian
267,schuppan,Australian
268,heyer,German
269,pilette,Belgian
270,ashley,British
271,kessel,Swiss
